Ligand,Docking_Score
"1,1-dichloro-5-(3-hydroxy-5-methoxyphenyl)pentane-2,4-diol_out",-8.1
"1,2-Humulene_epoxide_out",-9.2
"1,5-Epoxy-3-hydroxy-1-4-hydroxy-3,5-dimethoxyphenyl-7-4-hydroxy-3-methoxyphenyl-heptane_out",-8.9
"1,8-bis(acetyloxy)-2,4-dimethyloctan-3-yl 2-(acetyloxy)propanoate_out",-8.5
"1-(4-hydroxy-3-methoxyphenyl)octane-3,5-diol_out",-8.0
1-Methoxyphaseollidin_out,-9.1
"1-[4-(butan-2-yl)phenyl]propane-1,2-diol_out",-8.0
"11-Cycloneren-3,7,10-Triol_out",-8.3
122411792_out,-9.2
13341191_out,-8.4
14410593_out,-9.1
"15-pentamethylbicyclo12.1.0pentadeca-2,6,10-triene_out",-9.1
17-beta-Estradiol_glucuronide_out,-11.6
18223681_out,-8.7
"2,10-Di-gamma,gamma-dimethylallyl-glycinol_out",-9.9
"2,5-Dihydroxybisabola-3,10-diene_out",-8.0
"2,6,10,14-tetramethylhexadeca-6,10,15-triene-2,3,9,14-tetrol_out",-8.7
2-(3-hydroxy-3-methyl-butyl)-4-methyl-phenol_out,-8.5
"2-(tert-butylamino)-1-(2,5-dimethoxyphenyl)propan-1-ol_out",-8.1
2-({[3-(ethoxycarbonyl)oxiran-2-yl](hydroxy)methylidene}amino)-4-methyl-N-(3-methylbutyl)pentanimidic acid_out,-8.5
"2-{2-[3,4-bis(2-hydroxyethoxy)oxolan-2-yl]-2-(2-hydroxyethoxy)ethoxy}ethyl dodecanoate_out",-9.0
2-{[(tert-butoxy)carbonyl]amino}-4-{[(prop-2-en-1-yloxy)carbonyl]amino}butanoic acid_out,-8.1
2-{[(tert-butoxy)carbonyl]amino}-6-{[(prop-2-en-1-yloxy)carbonyl]amino}hexanoic acid_out,-8.7
23724571_out,-9.7
23724604_out,-9.1
24-Ethyl-trans-22-dehydrocholesterol_out,-10.1
24-Methyl-lanost-9_11-en-3-beta-ol_out,-10.6
24-Methylene-24-dihydrolanosterol_out,-9.3
24-Methylene-24-dihydroparkeol_out,-10.0
24-Methylene-31-nor-5alpha-lanost-9_11-3beta-ol_out,-9.6
24epsilon-Ethyl-31-norlanosta-8_25_27-dien-3beta-ol_out,-9.6
"24R-4alpha,14alpha,24-trimethyl-5alpha-cholesta-8,25_27-dien-3beta-ol_out",-9.1
"24R-Cholest-5-ene-3-beta,7-alpha,24-triol_out",-10.5
24S-24-Methyl-25-dehydrocholesterol_out,-10.8
25-Dehydrositostanol_out,-9.4
28-Norbrassinolide_out,-10.5
"2alpha,3alpha-Dihydroxyolean-12-en-28-oic_acid_out",-10.5
2C-P_out,-8.4
"3,5-diethyl-5-(2-ethyl-3,4-dihydroxyhexyl)-2,5-dihydrofuran-2-one_out",-9.2
3-(1-hydroxy-6-methylheptyl)-4-methoxyoxolan-2-one_out,-8.5
3-(1-hydroxy-7-methyloctyl)-4-(hydroxymethyl)oxolan-2-one_out,-8.3
3-Alpha-Hydroxyolean-12-En-28-Oate_out,-9.8
3-Hptmf_out,-8.1
3-hydroxy-2-{3-[(3-hydroxy-6-methylheptanoyl)oxy]-8-methylnonanamido}propanoic acid_out,-10.2
3-Methoxysinensetin_out,-8.1
3-O-Acetylepisamarcandin_out,-10.5
3-p-Coumaroylquinic_acid_out,-8.9
31-nor-Lanost-8-en-3beta-ol_out,-10.6
